restaurant name,category,rating,cost for two,area,locality,address,veg,long distance delivery,city
biryani by kilo,"biryani,mughlai,kebabs,hyderabadi,north indian,lucknowi,desserts,beverages",4.1,600,khare town,dharampeth,"commercial first floor, f1 & f2 indu yash ii, 186, dharampeth extn, ramnagar square, nagpur",False,0,nagpur
haldirams sweets & namkeen,"sweets,bakery,beverages",4.6,300,sitabuldi,sitabuldi,"abhyankar road, sitabuldi,nagpur",False,0,nagpur
pind punjabi,"north indian,chinese",3.3,200,loha pul,"loha pul, pind","shree ganesh bhojnalay, manas chowk, sahu colony, sitabuldi, nagpur, maharashtra",True,0,nagpur
behrouz biryani,"biryani,mughlai,lucknowi,hyderabadi,kebabs,north indian,persian,desserts",3.9,500,sadar,"azad chowk, near gandhi chowk","faasos, plot no. 227 1, azad chowk, near gandhi chowk, opp kachara ghar, sadar, nagpur, 440001",False,0,nagpur
jay ambika bhojnalay,"north indian,indian",4.0,300,ganeshpeth colony,gandhibagh,shop no13 opp. rahul hotel ganeshpeth bus stand,True,0,nagpur
foody moody thali,"indian,thalis,chinese,biryani,north indian,punjabi,desserts",3.4,200,loha pul,"loha pul, foody","shree ganesh bhojnalay, manas chowk, sahu colony, sitabuldi, nagpur, maharashtra",False,0,nagpur
subway,"healthy food,salads,snacks,desserts,beverages",4.1,350,khare town,dharampeth,"g2, indu yash complex, cement road, ramnagar, near, dharampeth, nagpur",False,0,nagpur
kfc,"american,snacks,biryani",3.9,400,sitabuldi,"ground floor, eternity mall, variety square","g1, g2, ground floor, eternity mall, variety square, sitaburdi, nagpur, maharashtra 440010",False,0,nagpur
mcdonald's,"burgers,beverages,cafe,desserts",4.1,400,medical square,trillum mall,"restaurant no 3, 3rd floor, trillum mall, ram bag layout, untkhana road, nagpur, 440003",False,0,nagpur
babbu hotel,"biryani,mughlai,north indian,beverages",3.7,300,mominpura,gandhibagh,"near bakra mandi, mominpura chowk, mominpura, nagpur",False,0,nagpur
biryani story,"biryani,indian,north indian,mughlai,punjabi",2.8,200,loha pul,"loha pul, biryani story","shree ganesh bhojnalay, manas chowk, sahu colony, sitabuldi, nagpur, maharashtra",False,0,nagpur
mullaji zillah biryani center,biryani,4.1,250,sadar,sadar,"shop no 52 mini mangalwari bajar complex sadar , district - nagpur-1, state - maharashtra - 440001",False,0,nagpur
burger singh (big punjabi burgers),"fast food,snacks,beverages,indian,american,desserts,combo",4.0,300,laxminagar,shradhanand peth,"plot no 122, ambazari road, shradhanand peth, opposite to tanishq jewellery showroom, nagpur-440010",False,0,nagpur
the smoked biryani,"indian,thalis,chinese,biryani,north indian,punjabi,desserts,combo",3.0,200,loha pul,"loha pul, smoked","shree ganesh bhojnalay, manas chowk, sahu colony, sitabuldi, nagpur, maharashtra",False,0,nagpur
moti mahal delux,"north indian,mughlai,biryani,tandoor,kebabs",4.1,350,sitabuldi,cotton market,"cotton market chowk, nagpur, - 440012",False,0,nagpur
al zam zam,"biryani,indian,north indian,chinese,mughlai,tandoor",3.8,300,vivekanand nagar,vivekanand nagar,"shop no. g3, laxmidas appt., besides sai mandir, wardha rd, nagpur, maharashtra 440015",False,0,nagpur
shree ganesh bhojnalaya,"indian,chinese",2.5,200,loha pul,"loha pul, ganesh","shree ganesh bhojnalay, manas chowk, sahu colony, sitabuldi, nagpur, maharashtra",False,0,nagpur
taste of biryani,north indian,2.7,200,loha pul,"loha pul, biryani","shree ganesh bhojnalay, manas chowk, sahu colony, sitabuldi, nagpur, maharashtra",False,0,nagpur
krishnum restaurant,"south indian,indian,chinese,fast food,beverages",3.9,200,mominpura,ca road,"ca road, central avenue , gandhibagh",False,0,nagpur
barbeque nation,"north indian,barbecue,biryani,kebabs,mughlai,desserts",3.9,600,sitabuldi,"amravati rd, eternity mall","2nd floor eternity mall, amravati rd, variety square, sitabuldi, nagpur, maharashtra 440012",False,0,nagpur
calcutta roll center,"chinese,fast food,north indian,indian,snacks,tandoor,bengali,street food",3.8,250,chhaoni,sadar,"achraj tower, katol road, sadar, nagpur",False,0,nagpur
namrata's kitchen,north indian,3.8,300,sitabuldi,nandanvan,"baba farid nagar, koradi road, near buddha vihar.",False,0,nagpur
ubq by barbeque nation,"north indian,barbecue,biryani,kebabs,mughlai,desserts",3.9,300,sitabuldi,nagpur,"unit - k1 to fc- 6, 2nd floor, eternity mall, verity chowk, nagpur-440024",False,0,nagpur
sangam restaurant,"north indian,south indian,pizzas,biryani,street food,chinese,desserts,sweets",4.2,400,medical square,medical square,"medical square, near io petrol pump.",False,0,nagpur
taste of indore,"street food,north indian,snacks",4.0,70,sitabuldi,sitabuldi,"mahajan market road, sitabuldi, nagpur",True,0,nagpur
corridor seven coffee roasters,"continental,salads,healthy food,desserts,beverages",4.5,500,sitabuldi,sitabuldi,"86, mahajan market, behind ketkar hospital, sitabuldi, nagpur 440012, district - nagpur-1, state - maharashtra -  440012",False,0,nagpur
